,,,,,,"C-11 POPULATION ATTENDING EDUCATIONAL INSTITUTION BY COMPLETED EDUCATION LEVEL, AGE AND SEX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table,State,Distt.,Tehsil,Area Name,Total/,Age-group,Total population,,,Population ,,,Illiterates,,,Literates,,,Educational level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Code,Code,Code,,Rural/,,,,,attending educational institution,,,,,,,,,Literate without,,,Below primary,,,Primary,,,Middle,,,Matric/Secondary,,,Higher Secondary/Intermediate,,,Non-technical diploma or,,,Technical diploma or certificate not,,,Graduate & above,,,Unclassified,,
,,,,,Urban/,,,,,,,,,,,,,,education level,,,,,,,,,,,,,,,Pre-University/Senior secondary,,,certificate not equal to degree,,,equal to degree,,,,,,,,
,,,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,38,39,40
A,B,C,D,STATE,TOTal,AGE,PERSONS,MALE,FEMALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,0-4,963603,497184,466419,31890,17270,14620,31890,17270,14620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,5,237728,122741,114987,43814,24145,19669,43814,24145,19669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,6,284472,145469,139003,101039,55032,46007,101039,55032,46007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,7,217317,111487,105830,131183,71714,59469,26879,14293,12586,104304,57421,46883,788,478,310,103504,56940,46564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,9
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,8,321662,165379,156283,212245,116821,95424,28905,14933,13972,183340,101888,81452,999,628,371,182327,101252,81075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,6
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,9,231584,119404,112180,168889,92632,76257,16065,8057,8008,152824,84575,68249,656,395,261,139356,77283,62073,12804,6894,5910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,10,368272,190872,177400,257996,143718,114278,17792,8870,8922,240204,134848,105356,1080,687,393,177458,100173,77285,61651,33979,27672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,6
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,11,178719,93395,85324,138960,77380,61580,6233,3015,3218,132727,74365,58362,435,283,152,51068,29165,21903,81215,44914,36301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,12,333604,172296,161308,236907,133429,103478,9139,4322,4817,227768,129107,98661,915,598,317,45394,26400,18994,167010,94261,72749,14429,7835,6594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,7
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,13,210357,106871,103486,154716,85848,68868,3734,1603,2131,150982,84245,66737,496,330,166,13997,8055,5942,109578,61738,47840,26901,14117,12784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,14,269707,139403,130304,187458,106794,80664,3967,1646,2321,183491,105148,78343,668,443,225,9425,5637,3788,80656,47226,33430,92727,51835,40892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,8
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,15,265700,136751,128949,163923,94434,69489,3232,1338,1894,160691,93096,67595,548,375,173,5303,3204,2099,39534,23851,15683,95066,54696,40370,20231,10965,9266,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,16,281221,143852,137369,163380,94194,69186,2905,1114,1791,160475,93080,67395,628,425,203,4071,2431,1640,21693,13226,8467,70920,41425,29495,63152,35566,27586,0,0,0,0,0,0,0,0,0,0,0,0,11,7,4
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,17,160447,82204,78243,85560,49350,36210,1323,466,857,84237,48884,35353,310,201,109,1797,1102,695,7691,4640,3051,25820,15422,10398,48612,27514,21098,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,18,316768,164487,152281,128165,76018,52147,2589,983,1606,125576,75035,50541,508,334,174,3012,1804,1208,9096,5680,3416,29499,18086,11413,45744,27428,18316,37573,21602,15971,22,15,7,113,80,33,0,0,0,9,6,3
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,19,122945,65038,57907,46640,27418,19222,811,307,504,45829,27111,18718,200,144,56,1368,804,564,2367,1434,933,7163,4464,2699,13469,8137,5332,21143,12046,9097,19,18,1,87,56,31,0,0,0,13,8,5
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,20-24,889969,476469,413500,172401,104715,67686,4835,1909,2926,167566,102806,64760,1108,751,357,3521,2205,1316,6893,4298,2595,20505,13201,7304,38627,24204,14423,68282,41373,26909,95,67,28,669,461,208,27821,16218,11603,45,28,17
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,25-29,789383,422668,366715,20803,13914,6889,424,196,228,20379,13718,6661,153,123,30,46,26,20,104,69,35,210,156,54,1513,1055,458,5651,3846,1805,27,21,6,159,123,36,12511,8294,4217,5,5,0
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,30-34,697138,378777,318361,5874,4236,1638,402,182,220,5472,4054,1418,90,59,31,16,8,8,65,46,19,146,123,23,648,487,161,1062,789,273,12,11,1,48,42,6,3383,2487,896,2,2,0
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,35-59,2282065,1235516,1046549,9199,6814,2385,1902,994,908,7297,5820,1477,301,223,78,54,42,12,209,161,48,471,400,71,1419,1190,229,806,646,160,6,6,0,62,55,7,3965,3093,872,4,4,0
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,60+,675324,365827,309497,1914,1285,629,541,307,234,1373,978,395,69,48,21,29,21,8,52,44,8,51,46,5,208,165,43,345,228,117,3,2,1,5,3,2,610,420,190,1,1,0
C3311,01,00,0000,State - JAMMU & KASHMIR  01,Total,Age not stated,45715,24836,20879,487,307,180,30,11,19,457,296,161,27,18,9,6,4,2,4,3,1,7,5,2,76,49,27,132,83,49,0,0,0,2,1,1,203,133,70,0,0,0
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,All ages,6077900,3087940,2989960,1708015,911750,796265,125363,65070,60293,1582652,846680,735972,3643,1874,1769,572171,299096,273075,429648,226202,203446,255008,136693,118315,178270,99962,78308,109963,62139,47824,300,144,156,2317,1660,657,31158,18815,12343,174,95,79
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,0-4,560187,296555,263632,9896,5497,4399,9896,5497,4399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,5,123996,65408,58588,26057,14269,11788,26057,14269,11788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,6,108954,56463,52491,65978,34947,31031,65978,34947,31031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,7,117677,61554,56123,108169,57166,51003,10427,5263,5164,97742,51903,45839,182,106,76,97553,51795,45758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,5
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,8,137680,71958,65722,130640,68804,61836,4393,2028,2365,126247,66776,59471,164,98,66,126073,66674,59399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,6
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,9,130857,67675,63182,126648,65812,60836,1823,755,1068,124825,65057,59768,109,65,44,120190,62674,57516,4517,2314,2203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,5
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,10,151321,78154,73167,145149,75530,69619,1249,480,769,143900,75050,68850,141,91,50,113362,59037,54325,30390,15917,14473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,11,127690,65993,61697,123785,64335,59450,692,257,435,123093,64078,59015,112,73,39,55631,28580,27051,67344,35423,31921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,12,152423,78352,74071,145059,75328,69731,725,258,467,144334,75070,69264,107,69,38,33495,17172,16323,106128,55439,50689,4594,2383,2211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,13,134792,67786,67006,127441,65053,62388,508,152,356,126933,64901,62032,85,56,29,12413,6048,6365,92163,47584,44579,22266,11209,11057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,14,138813,70972,67841,126676,66233,60443,532,178,354,126144,66055,60089,107,69,38,6018,3091,2927,63873,33882,29991,56140,29009,27131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,15,131453,66860,64593,113942,59467,54475,407,135,272,113535,59332,54203,94,56,38,2507,1313,1194,33152,17769,15383,62716,32682,30034,15061,7510,7551,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,16,129259,65472,63787,104757,54884,49873,381,117,264,104376,54767,49609,94,60,34,1346,675,671,16857,9109,7748,48523,25785,22738,37553,19136,18417,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,17,114904,59749,55155,85790,46631,39159,239,81,158,85551,46550,39001,66,42,24,827,458,369,7277,4162,3115,27840,15361,12479,49532,26524,23008,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,18,149531,79698,69833,87098,49199,37899,297,90,207,86801,49109,37692,96,54,42,740,418,322,4003,2348,1655,19528,11622,7906,37557,21943,15614,24558,12548,12010,32,11,21,275,159,116,0,0,0,12,6,6
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,19,101477,52539,48938,48305,27858,20447,137,37,100,48168,27821,20347,84,46,38,549,283,266,1390,830,560,6460,4072,2388,16520,10276,6244,22816,12097,10719,37,16,21,305,196,109,0,0,0,7,5,2
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,20-24,583029,295703,287326,115075,69422,45653,480,169,311,114595,69253,45342,401,218,183,1242,760,482,2180,1220,960,6686,4411,2275,21136,13900,7236,59251,35207,24044,153,73,80,1367,1019,348,22126,12418,9708,53,27,26
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,25-29,517507,256532,260975,10555,7221,3334,119,37,82,10436,7184,3252,235,86,149,33,12,21,80,48,32,87,44,43,364,257,107,2515,1754,761,42,24,18,199,153,46,6873,4800,2073,8,6,2
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,30-34,432675,215401,217274,2114,1324,790,129,31,98,1985,1293,692,277,93,184,29,13,16,67,34,33,41,26,15,173,116,57,309,214,95,19,9,10,79,62,17,990,725,265,1,1,0
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,35-59,1471395,736070,735325,3568,1960,1608,632,173,459,2936,1787,1149,1004,410,594,135,72,63,196,101,95,111,75,36,325,261,64,181,120,61,14,8,6,80,60,20,886,677,209,4,3,1
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,60+,547564,270846,276718,1161,713,448,247,107,140,914,606,308,282,180,102,28,21,7,29,20,9,15,13,2,35,28,7,276,168,108,1,1,0,7,6,1,241,169,72,0,0,0
C3311,02,00,0000,State - HIMACHAL PRADESH  02,Total,Age not stated,14716,8200,6516,152,97,55,15,9,6,137,88,49,3,2,1,0,0,0,2,2,0,1,1,0,14,11,3,57,31,26,2,2,0,5,5,0,42,26,16,11,8,3
C3311,03,00,0000,State - PUNJAB  03,Total,All ages,24358999,12985045,11373954,5811218,3192103,2619115,609272,334998,274274,5201946,2857105,2344841,9764,5302,4462,2159198,1211022,948176,1370364,750385,619979,753661,416407,337254,498884,267359,231525,309724,155283,154441,1379,875,504,14151,9613,4538,83890,40377,43513,931,482,449
C3311,03,00,0000,State - PUNJAB  03,Total,0-4,2128738,1186499,942239,84560,47934,36626,84560,47934,36626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,03,00,0000,State - PUNJAB  03,Total,5,534806,300142,234664,133391,77137,56254,133391,77137,56254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,03,00,0000,State - PUNJAB  03,Total,6,508285,277160,231125,241140,134376,106764,241140,134376,106764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,03,00,0000,State - PUNJAB  03,Total,7,510806,278813,231993,408693,226955,181738,52506,28813,23693,356187,198142,158045,1559,908,651,354570,197203,157367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,31,27
